Id,Games,City,Sport,Event,Medal
5907,1988 Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",NA
5908,1992 Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",NA
5909,1992 Summer,Barcelona,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
5910,1988 Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,NA
5911,1992 Summer,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,NA
5912,1992 Summer,Barcelona,Boxing,Boxing Men's Middleweight,NA
5913,1952 Summer,Helsinki,Boxing,Boxing Men's Welterweight,NA
5914,1976 Summer,Montreal,Athletics,Athletics Men's High Jump,NA
5915,1960 Summer,Roma,Athletics,Athletics Men's 100 metres,NA
5916,1960 Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5917,1984 Summer,Los Angeles,Athletics,"Athletics Women's 3,000 metres",NA
5918,1992 Summer,Barcelona,Athletics,"Athletics Women's 3,000 metres",NA
5919,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Women's Slalom,NA
5920,1996 Summer,Atlanta,Athletics,Athletics Men's Shot Put,NA
5921,2000 Summer,Sydney,Athletics,Athletics Men's Shot Put,NA
5922,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Downhill,NA
5923,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
5924,2000 Summer,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,NA
5925,1980 Summer,Moskva,Boxing,Boxing Men's Welterweight,NA
5926,2008 Summer,Beijing,Athletics,Athletics Men's 50 kilometres Walk,NA
5927,2012 Summer,London,Athletics,Athletics Men's 50 kilometres Walk,NA
5928,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,NA
5929,1952 Summer,Helsinki,Athletics,Athletics Men's 200 metres,NA
5930,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5931,2000 Summer,Sydney,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
5932,2004 Summer,Athina,Athletics,Athletics Men's Marathon,NA
5933,1976 Summer,Montreal,Athletics,"Athletics Men's 5,000 metres",NA
5934,1968 Summer,Mexico City,Athletics,Athletics Women's 80 metres Hurdles,NA
5935,1972 Summer,Munich,Athletics,Athletics Women's 100 metres Hurdles,Silver
5936,1972 Summer,Munich,Athletics,Athletics Women's Long Jump,NA
5937,1976 Summer,Montreal,Athletics,Athletics Women's 100 metres Hurdles,NA
5938,1992 Summer,Barcelona,Athletics,Athletics Women's 400 metres Hurdles,NA
5939,1996 Summer,Atlanta,Athletics,Athletics Women's 400 metres Hurdles,Bronze
5940,2000 Summer,Sydney,Athletics,Athletics Women's 400 metres Hurdles,NA
5941,2008 Summer,Beijing,Boxing,Boxing Men's Middleweight,NA
5942,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Downhill,NA
5943,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Super G,NA
5944,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
5945,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Combined,NA
5946,1980 Summer,Moskva,Athletics,Athletics Men's Discus Throw,Silver
5947,1988 Summer,Seoul,Athletics,Athletics Men's Discus Throw,NA
5948,1992 Summer,Barcelona,Athletics,Athletics Men's Discus Throw,NA
5949,1984 Summer,Los Angeles,Boxing,Boxing Men's Light-Welterweight,NA
5950,1952 Summer,Helsinki,Athletics,Athletics Women's 100 metres,NA
5951,1952 Summer,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,NA
5952,1952 Summer,Helsinki,Athletics,Athletics Women's Long Jump,NA
5953,1964 Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,NA
5954,1968 Summer,Mexico City,Athletics,Athletics Men's 400 metres,NA
5955,1972 Summer,Munich,Athletics,Athletics Men's 400 metres,NA
5956,2012 Summer,London,Athletics,Athletics Men's Discus Throw,NA
5957,1960 Summer,Roma,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
5958,1952 Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5959,1996 Summer,Atlanta,Boxing,Boxing Men's Lightweight,NA
5960,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Downhill,NA
5961,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
5962,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Slalom,NA
5963,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Downhill,NA
5964,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
5965,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
5966,2012 Summer,London,Athletics,Athletics Men's 110 metres Hurdles,NA
5967,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles,NA
5968,1968 Summer,Mexico City,Athletics,Athletics Men's Javelin Throw,NA
5969,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5970,2008 Summer,Beijing,Athletics,Athletics Women's Pole Vault,NA
5971,1992 Summer,Barcelona,Athletics,Athletics Women's Marathon,NA
5972,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5973,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5974,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5975,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5976,2012 Summer,London,Athletics,Athletics Women's Triple Jump,NA
5977,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Triple Jump,NA
5978,2016 Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,NA
5979,2004 Summer,Athina,Athletics,Athletics Men's Pole Vault,NA
5980,2008 Summer,Beijing,Athletics,Athletics Men's Pole Vault,NA
5981,1956 Summer,Melbourne,Athletics,Athletics Men's Discus Throw,NA
5982,1960 Summer,Roma,Athletics,Athletics Men's Discus Throw,NA
5983,1964 Summer,Tokyo,Athletics,Athletics Men's Discus Throw,NA
5984,1968 Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
5985,1972 Summer,Munich,Athletics,Athletics Women's 100 metres,NA
5986,1972 Summer,Munich,Athletics,Athletics Women's 4 x 100 metres Relay,NA
5987,1980 Summer,Moskva,Athletics,Athletics Women's 800 metres,NA
5988,1980 Summer,Moskva,Athletics,"Athletics Women's 1,500 metres",NA
5989,1992 Summer,Barcelona,Athletics,Athletics Women's 100 metres Hurdles,NA
5990,1996 Summer,Atlanta,Athletics,Athletics Women's 100 metres Hurdles,Silver
5991,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,NA
5992,1960 Summer,Roma,Boxing,Boxing Men's Light-Middleweight,NA
5993,1964 Summer,Tokyo,Boxing,Boxing Men's Middleweight,NA
5994,1992 Summer,Barcelona,Athletics,Athletics Men's Pole Vault,NA
5995,1996 Summer,Atlanta,Athletics,Athletics Men's Pole Vault,NA
5996,1952 Summer,Helsinki,Boxing,Boxing Men's Flyweight,Bronze
5997,1952 Summer,Helsinki,Athletics,Athletics Men's 110 metres Hurdles,NA
5998,1996 Summer,Atlanta,Athletics,Athletics Men's Shot Put,NA
5999,1956 Summer,Melbourne,Athletics,Athletics Men's Pole Vault,NA
6000,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,NA
6001,2000 Summer,Sydney,Athletics,Athletics Women's 100 metres,NA
6002,2004 Summer,Athina,Athletics,Athletics Women's Long Jump,NA
6003,1976 Summer,Montreal,Athletics,Athletics Women's High Jump,NA
6004,2008 Summer,Beijing,Athletics,Athletics Women's Hammer Throw,NA
6005,1948 Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,NA
6006,2004 Summer,Athina,Athletics,Athletics Women's 400 metres,NA
6007,2008 Summer,Beijing,Athletics,Athletics Women's 400 metres,NA
6008,1996 Summer,Atlanta,Boxing,Boxing Men's Light-Welterweight,NA
6009,1996 Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",NA
6010,1968 Summer,Mexico City,Athletics,Athletics Men's Pole Vault,NA
6011,1972 Summer,Munich,Athletics,Athletics Men's Pole Vault,NA
6012,1960 Summer,Roma,Athletics,Athletics Men's 400 metres,NA
6013,1964 Summer,Tokyo,Athletics,"Athletics Men's 10,000 metres",NA
6014,1964 Summer,Tokyo,Boxing,Boxing Men's Welterweight,NA
6015,2012 Summer,London,Athletics,Athletics Men's 400 metres Hurdles,NA
6016,2012 Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,NA
6017,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,NA
6018,2012 Summer,London,Athletics,"Athletics Women's 1,500 metres",Silver
6019,1960 Summer,Roma,Athletics,Athletics Men's 800 metres,NA
6020,1964 Summer,Tokyo,Athletics,Athletics Men's 800 metres,NA
6021,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
6022,1956 Summer,Melbourne,Athletics,Athletics Men's 200 metres,NA
6023,1960 Summer,Roma,Athletics,Athletics Men's 400 metres,NA
6024,1964 Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,NA
6025,1988 Summer,Seoul,Athletics,Athletics Men's Discus Throw,NA
6026,1992 Summer,Barcelona,Athletics,Athletics Men's Discus Throw,NA
6027,2000 Summer,Sydney,Boxing,Boxing Men's Welterweight,NA
6028,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,NA
6029,2004 Summer,Athina,Athletics,Athletics Men's 800 metres,NA
6030,2008 Summer,Beijing,Athletics,Athletics Men's 800 metres,Gold
6031,2004 Summer,Athina,Athletics,Athletics Women's Hammer Throw,NA
6032,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
6033,1960 Summer,Roma,Athletics,Athletics Men's 100 metres,NA
6034,1960 Summer,Roma,Athletics,Athletics Men's 200 metres,NA
6035,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Slalom,Gold
6036,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,NA
6037,1988 Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
6038,1980 Summer,Moskva,Athletics,Athletics Men's 400 metres,NA
6039,1980 Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
6040,1992 Summer,Barcelona,Athletics,Athletics Women's Marathon,NA
6041,1996 Summer,Atlanta,Athletics,Athletics Women's Marathon,NA
6042,2004 Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,NA
6043,1976 Summer,Montreal,Boxing,Boxing Men's Light-Welterweight,NA
6044,1972 Summer,Munich,Boxing,Boxing Men's Welterweight,NA
6045,1952 Summer,Helsinki,Athletics,Athletics Men's Triple Jump,NA
6046,2000 Summer,Sydney,Athletics,Athletics Men's Long Jump,NA
6047,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
6048,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
6049,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
6050,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Slalom,NA
6051,1956 Summer,Melbourne,Athletics,Athletics Men's 110 metres Hurdles,NA
6052,2000 Summer,Sydney,Athletics,Athletics Men's Pole Vault,NA
6053,2004 Summer,Athina,Athletics,Athletics Men's Pole Vault,NA
6054,2008 Summer,Beijing,Athletics,Athletics Men's Pole Vault,NA
6055,1976 Summer,Montreal,Boxing,Boxing Men's Light-Heavyweight,NA
6056,1968 Summer,Mexico City,Athletics,Athletics Men's Triple Jump,NA
6057,2000 Summer,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
6058,2004 Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
6059,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
6060,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
6061,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Downhill,NA
6062,1992 Summer,Barcelona,Athletics,Athletics Women's 4 x 400 metres Relay,NA
6063,1948 Summer,London,Boxing,Boxing Men's Flyweight,NA
6064,2000 Summer,Sydney,Athletics,Athletics Women's 400 metres,NA
6065,2000 Summer,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,NA
6066,1992 Summer,Barcelona,Athletics,"Athletics Women's 3,000 metres",NA
6067,2008 Summer,Beijing,Athletics,"Athletics Women's 1,500 metres",NA
6068,2012 Summer,London,Athletics,"Athletics Women's 5,000 metres",NA
6069,2016 Summer,Rio de Janeiro,Athletics,"Athletics Women's 10,000 metres",NA
6070,1992 Summer,Barcelona,Athletics,Athletics Men's 100 metres,NA
6071,1992 Summer,Barcelona,Athletics,Athletics Men's 200 metres,NA
6072,1996 Summer,Atlanta,Athletics,Athletics Men's 100 metres,NA
6073,1996 Summer,Atlanta,Boxing,Boxing Men's Featherweight,NA
6074,1964 Summer,Tokyo,Athletics,Athletics Men's Hammer Throw,NA
6075,1968 Summer,Mexico City,Athletics,Athletics Men's Hammer Throw,NA
6076,1984 Summer,Los Angeles,Athletics,Athletics Men's Hammer Throw,NA
6077,1984 Summer,Los Angeles,Athletics,Athletics Women's 200 metres,NA
6078,1984 Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,NA
6079,2000 Summer,Sydney,Athletics,Athletics Men's Long Jump,NA
6080,2004 Summer,Athina,Athletics,Athletics Men's Triple Jump,Bronze
6081,2008 Summer,Beijing,Athletics,Athletics Men's Triple Jump,NA
6082,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
6083,1980 Summer,Moskva,Athletics,"Athletics Women's 1,500 metres",NA
6084,1984 Summer,Los Angeles,Athletics,"Athletics Women's 3,000 metres",NA
6085,1988 Summer,Seoul,Athletics,"Athletics Women's 1,500 metres",NA
6086,1988 Summer,Seoul,Athletics,"Athletics Women's 3,000 metres",NA
6087,2012 Summer,London,Athletics,Athletics Women's Marathon,NA
6088,1960 Summer,Roma,Athletics,"Athletics Men's 1,500 metres",NA
6089,1964 Summer,Tokyo,Athletics,"Athletics Men's 1,500 metres",NA
6090,2004 Summer,Athina,Athletics,Athletics Men's Marathon,NA
6091,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,NA
6092,1976 Summer,Montreal,Athletics,Athletics Women's 400 metres,NA
6093,1976 Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,NA
6094,1968 Summer,Mexico City,Athletics,Athletics Women's 800 metres,NA
6095,1972 Summer,Munich,Athletics,"Athletics Women's 1,500 metres",NA
6096,2000 Summer,Sydney,Athletics,Athletics Men's 110 metres Hurdles,NA
6097,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,NA
6098,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
6099,2004 Summer,Athina,Athletics,Athletics Women's 800 metres,NA
6100,2008 Summer,Beijing,Athletics,Athletics Women's 800 metres,NA
6101,1968 Summer,Mexico City,Athletics,Athletics Men's 400 metres,NA
6102,1984 Summer,Los Angeles,Athletics,Athletics Men's Discus Throw,NA
6103,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,NA
6104,2004 Summer,Athina,Athletics,Athletics Men's 100 metres,NA
6105,2004 Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,NA
6106,2008 Summer,Beijing,Athletics,Athletics Men's 100 metres,NA
6107,2008 Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
6108,2012 Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
6109,1992 Summer,Barcelona,Athletics,Athletics Women's Discus Throw,NA
6110,1996 Summer,Atlanta,Athletics,Athletics Women's Discus Throw,NA
6111,2004 Summer,Athina,Athletics,Athletics Women's Discus Throw,NA
6112,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Downhill,NA
6113,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
6114,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
6115,1988 Summer,Seoul,Athletics,Athletics Men's Marathon,NA
6116,1992 Summer,Barcelona,Athletics,Athletics Men's Marathon,NA
6117,1992 Summer,Barcelona,Athletics,Athletics Men's Decathlon,NA
6118,2000 Summer,Sydney,Athletics,Athletics Women's Long Jump,NA
6119,1992 Summer,Barcelona,Athletics,Athletics Men's 100 metres,NA
6120,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
6121,2000 Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
6122,2004 Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
6123,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Downhill,NA
6124,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
6125,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
6126,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Downhill,NA
6127,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
6128,1956 Summer,Melbourne,Boxing,Boxing Men's Flyweight,NA
6129,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,NA
6130,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,NA
6131,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Downhill,NA
6132,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Super G,NA
6133,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
6134,1948 Summer,London,Athletics,Athletics Men's Discus Throw,NA
6135,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Downhill,NA
6136,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
6137,1972 Summer,Munich,Athletics,Athletics Men's 200 metres,NA
6138,1964 Summer,Tokyo,Athletics,Athletics Women's 100 metres,NA
6139,1964 Summer,Tokyo,Athletics,Athletics Women's 200 metres,NA
6140,1964 Summer,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,NA
6141,1988 Summer,Seoul,Athletics,Athletics Women's 800 metres,NA
6142,1968 Summer,Mexico City,Athletics,Athletics Men's 20 kilometres Walk,NA
6143,1972 Summer,Munich,Boxing,Boxing Men's Lightweight,NA
6144,1968 Summer,Mexico City,Athletics,Athletics Men's Marathon,NA
6145,1988 Summer,Seoul,Athletics,Athletics Women's 400 metres Hurdles,NA
6146,1988 Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
6147,2000 Summer,Sydney,Athletics,Athletics Women's Pole Vault,NA
6148,1964 Summer,Tokyo,Athletics,Athletics Women's 400 metres,NA
6149,1996 Summer,Atlanta,Athletics,Athletics Men's Decathlon,Silver
6150,2000 Summer,Sydney,Athletics,Athletics Men's Decathlon,NA
6151,1988 Summer,Seoul,Athletics,Athletics Women's Marathon,NA
6152,2004 Summer,Athina,Athletics,"Athletics Men's 10,000 metres",NA
6153,1984 Summer,Los Angeles,Athletics,Athletics Women's 400 metres,NA
6154,1984 Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
6155,1980 Summer,Moskva,Athletics,Athletics Men's 800 metres,NA
6156,1980 Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",NA
6157,1960 Summer,Roma,Boxing,Boxing Men's Light-Welterweight,NA
6158,1988 Summer,Seoul,Athletics,Athletics Women's Marathon,NA
6159,1992 Summer,Barcelona,Athletics,Athletics Women's Marathon,NA
6160,1952 Summer,Helsinki,Athletics,Athletics Men's Marathon,NA
6161,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Downhill,NA
6162,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
6163,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
6164,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,NA
6165,2012 Summer,London,Athletics,"Athletics Men's 1,500 metres",NA
6166,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",NA
6167,2012 Summer,London,Athletics,Athletics Men's Marathon,NA
6168,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
6169,1956 Summer,Melbourne,Athletics,Athletics Men's 800 metres,NA
6170,2012 Summer,London,Boxing,Boxing Men's Flyweight,NA
6171,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,NA
6172,1952 Summer,Helsinki,Athletics,Athletics Men's Discus Throw,NA
6173,1984 Summer,Los Angeles,Athletics,Athletics Men's 400 metres,NA
6174,1984 Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,NA
6175,1948 Summer,London,Athletics,Athletics Women's 100 metres,NA
6176,1948 Summer,London,Athletics,Athletics Women's 200 metres,NA
6177,1996 Summer,Atlanta,Athletics,"Athletics Women's 5,000 metres",NA
6178,2004 Summer,Athina,Athletics,"Athletics Women's 10,000 metres",NA
6179,2012 Summer,London,Athletics,Athletics Men's 400 metres,NA
6180,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,NA
6181,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,NA
6182,1948 Summer,London,Athletics,Athletics Men's 100 metres,NA
6183,1948 Summer,London,Athletics,Athletics Men's 200 metres,NA
6184,1952 Summer,Helsinki,Athletics,Athletics Men's 100 metres,NA
6185,1952 Summer,Helsinki,Athletics,Athletics Men's 200 metres,NA
6186,1952 Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,NA
6187,1956 Summer,Melbourne,Athletics,Athletics Men's 100 metres,NA
6188,1956 Summer,Melbourne,Athletics,Athletics Men's 200 metres,NA
6189,1956 Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,NA
6190,1972 Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,NA
6191,1976 Summer,Montreal,Athletics,Athletics Men's 110 metres Hurdles,NA
6192,1992 Summer,Barcelona,Boxing,Boxing Men's Flyweight,NA
6193,1972 Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,NA
6194,1976 Summer,Montreal,Athletics,Athletics Men's Triple Jump,Silver
6195,1952 Summer,Helsinki,Boxing,Boxing Men's Welterweight,NA
6196,1972 Summer,Munich,Boxing,Boxing Men's Bantamweight,NA
6197,2000 Summer,Sydney,Athletics,Athletics Women's 800 metres,NA
6198,2012 Summer,London,Athletics,Athletics Women's 20 kilometres Walk,NA
6199,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,NA
6200,1988 Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,NA
